"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","gallery","url_key","url_path","options_container","image_label","small_image_label","thumbnail_label","msrp_enabled","msrp_display_actual_price_type","ingredients","temperature","amount_of_water","time","nice_flowery_sentence","brewing","status","visibility","tax_class_id","price","special_price","weight","minimal_price","msrp","gift_wrapping_price","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","page_layout","gift_message_available","gift_wrapping_available","is_recurring","custom_design","country_of_manufacture","is_new","is_featured","is_best_selling","is_promotion"
"admin","base","Default","simple","4,5,6,7,10,22,56,59,78,84,88,90,93,95","GOUR0037-01","0","African Sunset (10 gr)","","","","","","","african-sunset","african-sunset.html","Block after Info Column","","","","Use config","Use config","Blend of African Honeybush, marigold and lemon myrtle. ","70-80乎C","2g for 200ml","6 -8 mins","Inspired by the magnificent sunset from the shores of Magadascar. Naturally caffeine-free.","","Disabled","Not Visible Individually","Taxable Goods","5.0000","","20.0000","","","","test description","test description","","","","","","","","","99.0000","0.0000","1","0","0","1","1.0000","1","10000.0000","1","1","","1.0000","1","1","1","0","1","0.0000","1","0","0","0","1","African Sunset (10 gr)","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","4,5,6,7,10,22,56,59,78,84,88,90,93,95","GOUR0037-02","0","African Sunset (100 gr)","","","","","","","african-sunset","african-sunset-2215.html","Block after Info Column","","","","Use config","Use config","Blend of African Honeybush, marigold and lemon myrtle. ","70-80乎C","2g for 200ml","6 -8 mins","Inspired by the magnificent sunset from the shores of Magadascar. Naturally caffeine-free.","","Enabled","Not Visible Individually","Taxable Goods","18.0000","","110.0000","","","","test description","test description","","","","","","","","","99.0000","0.0000","1","0","0","1","1.0000","1","10000.0000","1","1","","1.0000","1","1","1","0","1","0.0000","1","0","0","0","1","African Sunset (100 gr)","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","4,5,6,7,10,22,56,59,78,84,88,90,93,95","GOUR0037-04","0","African Sunset (200 gr) -10% Off","","","","","","","african-sunset","african-sunset-2218.html","Block after Info Column","/","/","/","Use config","Use config","Blend of African Honeybush, marigold and lemon myrtle. ","70-80乎C","2g for 200ml","6 -8 mins","Inspired by the magnificent sunset from the shores of Magadascar. Naturally caffeine-free.","","Enabled","Not Visible Individually","Taxable Goods","32.4000","","220.0000","","","","test description","test description","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2015-05-22 09:59:24","0.0000","1","0","1","1","1","0.0000","1","0","0","1","1","African Sunset (200 gr) -10% Off","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","4,5,6,7,10,22,56,59,78,84,88,90,93,95","GOUR0037-03","0","African Sunset (50 gr)","","","","","","","african-sunset","african-sunset-2216.html","Block after Info Column","","","","Use config","Use config","Blend of African Honeybush, marigold and lemon myrtle. ","70-80乎C","2g for 200ml","6 -8 mins","Inspired by the magnificent sunset from the shores of Magadascar. Naturally caffeine-free.","","Enabled","Not Visible Individually","Taxable Goods","9.0000","","50.0000","","","","test description","test description","","","","","","","","","99.0000","0.0000","1","0","0","1","1.0000","1","10000.0000","1","1","","1.0000","1","1","1","0","1","0.0000","1","0","0","0","1","African Sunset (50 gr)","0","simple","","","","","","","","","","","",""
"admin","base","Default","grouped","4,5,6,7,10,22,56,59,78,84,88,90,93,95","GOUR0037","0","African Sunset Rooibos Tea","","","","","","","african-sunset","african-sunset-2217.html","Block after Info Column","","","","","","Blend of African Honeybush, marigold and lemon myrtle. ","70-80乎C","2g for 200ml","6 -8 mins","A blend as enchanting and uplifting as an oasis in the dessert, Naturally caffeine-free. ","","Enabled","Catalog, Search","","","","","","","","test description","test description","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","1","0","1","0.0000","1","0","0","0","1","African Sunset Rooibos Tea","0","grouped","","","","","","","","","","","",""
"admin","base","Default","simple","4,5,6,7,10,22,56,59,78,84,93,95","GOUR0038-01","0","Aloe Verah (10 gr)","","","","","","","aloe-verah","aloe-verah.html","Block after Info Column","","","","Use config","Use config","Blend of rooibos, rosehips and melon bits.","70-80乎C","2g for 200ml","6 -8 mins","A blend as enchanting and uplifting as an oasis in the dessert, Naturally caffeine-free. ","","Disabled","Not Visible Individually","Taxable Goods","5.0000","","20.0000","","","","test description","test description","","","","","","","","","99.0000","0.0000","1","0","0","1","1.0000","1","10000.0000","1","1","","1.0000","1","1","1","0","1","0.0000","1","0","0","0","1","Aloe Verah (10 gr)","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","4,5,6,7,10,22,56,59,78,84,93,95","GOUR0038-02","0","Aloe Verah (100 gr)","","","","","","","aloe-verah","aloe-verah-2219.html","Block after Info Column","","","","Use config","Use config","Blend of rooibos, rosehips and melon bits.","70-80乎C","2g for 200ml","6 -8 mins","A blend as enchanting and uplifting as an oasis in the dessert, Naturally caffeine-free. ","","Enabled","Not Visible Individually","Taxable Goods","18.0000","","110.0000","","","","test description","test description","","","","","","","","","99.0000","0.0000","1","0","0","1","1.0000","1","10000.0000","1","1","","1.0000","1","1","1","0","1","0.0000","1","0","0","0","1","Aloe Verah (100 gr)","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","4,5,6,7,10,22,56,59,78,84,93,95","GOUR0038-04","0","Aloe Verah (200 gr) -10% Off","","","","","","","aloe-verah","aloe-verah-2222.html","Block after Info Column","/","/","/","Use config","Use config","Blend of rooibos, rosehips and melon bits.","70-80乎C","2g for 200ml","6 -8 mins","A blend as enchanting and uplifting as an oasis in the dessert, Naturally caffeine-free. ","","Enabled","Not Visible Individually","Taxable Goods","32.4000","","220.0000","","","","test description","test description","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2015-05-22 09:59:31","0.0000","1","0","1","1","1","0.0000","1","0","0","1","1","Aloe Verah (200 gr) -10% Off","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","4,5,6,7,10,22,56,59,78,84,93,95","GOUR0038-03","0","Aloe Verah (50 gr)","","","","","","","aloe-verah","aloe-verah-2220.html","Block after Info Column","","","","Use config","Use config","Blend of rooibos, rosehips and melon bits.","70-80乎C","2g for 200ml","6 -8 mins","A blend as enchanting and uplifting as an oasis in the dessert, Naturally caffeine-free. ","","Enabled","Not Visible Individually","Taxable Goods","9.0000","","50.0000","","","","test description","test description","","","","","","","","","99.0000","0.0000","1","0","0","1","1.0000","1","10000.0000","1","1","","1.0000","1","1","1","0","1","0.0000","1","0","0","0","1","Aloe Verah (50 gr)","0","simple","","","","","","","","","","","",""
"admin","base","Default","grouped","4,5,6,7,10,22,56,59,78,84,93,95","GOUR0038","0","Aloe Verah Rooibos Tea","","","","","","","aloe-verah","aloe-verah-2221.html","Block after Info Column","","","","","","Blend of rooibos, rosehips and melon bits.","70-80乎C","2g for 200ml","6 -8 mins","A blend as enchanting and uplifting as an oasis in the dessert, Naturally caffeine-free. ","","Enabled","Catalog, Search","","","","","","","","test description","test description","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","Aloe Verah Rooibos Tea","0","grouped","","","","","","","","","","","",""
