store,websites,attribute_set,type,category_ids,sku,has_options,price,special_price,weight,minimal_price,msrp,name,meta_title,meta_description,image,small_image,thumbnail,gallery,url_key,url_path,options_container,image_label,small_image_label,thumbnail_label,msrp_enabled,msrp_display_actual_price_type,status,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,gift_wrapping_price,custom_design,page_layout,country_of_manufacture,gift_message_available,gift_wrapping_available,is_recurring
admin,base,Default,simple,4,ART0001,0,16.6,,200,,,White Gingerlily White Tea,White Tea | White Gingerlily | Artisan Selection | Award-Winning Tea,A multi-award winning tea. This is made from organic White Peony tea with Thai Galangal and Lemongrass. A delicately balanced brew of Lavender and herbaceous tones with light spicy notes of Ginger,,,,,white-gingerlily,white-gingerlily.html,Block after Info Column,,,,Use config,Use config,Enabled,"Catalog, Search",Taxable Goods,test description,test description,,,,,,,,,99,0,1,0,0,1,1,1,10000,1,1,,1,1,1,1,0,1,0,1,0,0,0,1,White Gingerlily White Tea,0,simple,,,,,,,,,
admin,base,Default,simple,4,ART0002,0,16.6,,200,,,Nymph of the Nile White Tea,White Tea | Nymph of the Nile | Artisan Selection | Award-Winning Tea,"A multi-award winning tea, this organic peony white tea with Persian pink rose and Egyptian basil creates a delightfully harmonious blend of flower and herb. ",,,,,nymph-of-the-nile,nymph-of-the-nile.html,Block after Info Column,,,,Use config,Use config,Enabled,"Catalog, Search",Taxable Goods,test description,test description,,,,,,,,,99,0,1,0,0,1,1,1,10000,1,1,,1,1,1,0,0,1,0,1,0,0,0,1,Nymph of the Nile White Tea,0,simple,,,,,,,,,
admin,base,Default,simple,4,ART0003,0,16.6,,200,,,Pearl of the Orient Green Tea,Green Tea | Pearl of the Orient | Artisan Selection | Award-Winning Tea,"A multi-award winning tea and one of our best sellers. This is a well-balanced jasmine green tea that uses good quality Jasmine Pearls, is light-bodied and has a subtle hint of Moroccan Rose",,,,,pearl-of-the-orient,pearl-of-the-orient.html,Block after Info Column,,,,Use config,Use config,Enabled,"Catalog, Search",Taxable Goods,test description,test description,,,,,,,,,99,0,1,0,0,1,1,1,10000,1,1,,1,1,1,1,0,1,0,1,0,0,0,1,Pearl of the Orient Green Tea,0,simple,,,,,,,,,
admin,base,Default,simple,4,ART0004,0,16.6,,200,,,Osmanthus Sencha Green Tea,Green Tea | Osmanthus Sencha | Artisan Selection | Award-Winning Tea,"A multi-award winning tea, this Japanese sencha with osmanthus flowers packs a sweet and luscious punch that has a warm, intoxicating aroma of Madagascan Vanilla. A creamy and harmonious concoction that is a sure aphrodisiac for your palate",,,,,osmanthus-sencha,osmanthus-sencha.html,Block after Info Column,,,,Use config,Use config,Enabled,"Catalog, Search",Taxable Goods,test description,test description,,,,,,,,,97,0,1,0,0,1,1,1,10000,1,1,,1,1,0,0,0,1,0,1,0,0,0,1,Osmanthus Sencha Green Tea,0,simple,,,,,,,,,
admin,base,Default,simple,4,ART0005,0,16.6,,200,,,Marrakesh Mint Tea,Mint Green Tea | Marrakesh Mint | Artisan Selection | Award-Winning Tea,"A multi-award winning green tea with Mint and Lemongrass, this is a good balanced tea with a lasting mint flavour that works well for any occasion",,,,,marrakesh-mint,marrakesh-mint.html,Block after Info Column,,,,Use config,Use config,Enabled,"Catalog, Search",Taxable Goods,test description,test description,,,,,,,,,98,0,1,0,0,1,1,1,10000,1,1,,1,1,1,1,0,1,0,1,0,0,0,1,Marrakesh Mint Tea,0,simple,,,,,,,,,
admin,base,Default,simple,4,ART0006,0,16.6,,200,,,Hanami Green Tea,Japanese Sencha | Hanami | Artisan Selection | Green Tea,"Inspired by the Japanese tradition of celebrating cherry blossoms, this Japanese Sencha with Cherry Blossoms has a slight creamy character and mild vegetal notes. A green tea that offers the refreshing flavours of Spring. ",,,,,hanami,hanami.html,Block after Info Column,,,,Use config,Use config,Enabled,"Catalog, Search",Taxable Goods,test description,test description,,,,,,,,,99,0,1,0,0,1,1,1,10000,1,1,,1,1,0,0,0,1,0,1,0,0,0,1,Hanami Green Tea,0,simple,,,,,,,,,
admin,base,Default,simple,"4, 5, 16",ART0007,0,16.6,,200,,,Contessa Grey Black Tea,Darjeeling Black Tea | Contessa Grey | Artisan Selection | Award-Winning Tea,"A 2014 award-winning tea, this is a Darjeeling black tea with oil of bergamot, Mediterranean Eucalyptus and Japanese Shiso. An intriguing blend with light floral and citrus notes that has a gentle menthol finish on the palate ",,,,,contessa-grey,contessa-grey.html,Block after Info Column,,,,Use config,Use config,Enabled,"Catalog, Search",Taxable Goods,test description,test description,,,,,,,,,99,0,1,0,0,1,1,1,10000,1,1,,1,1,1,1,0,1,0,1,0,0,0,1,Contessa Grey Black Tea,0,simple,,,,,,,,,
admin,base,Default,simple,"4, 5, 16",ART0008,0,16.6,,200,,,Earl Grey Lavender Black Tea,Black Tea | Earl Grey Lavender | Artisan Selection | Award-Winning Tea,An award-winning classic tea blend with oil of Bergamot and lavender blossoms. This medium-bodied tea is a fusion of delicate lavender flowers that tickles the senses with its bold floral top notes and citrus texture,,,,,earl-grey-lavender,earl-grey-lavender.html,Block after Info Column,,,,Use config,Use config,Enabled,"Catalog, Search",Taxable Goods,test description,test description,,,,,,,,,99,0,1,0,0,1,1,1,10000,1,1,,1,1,1,0,0,1,0,1,0,0,0,1,Earl Grey Lavender Black Tea,0,simple,,,,,,,,,
admin,base,Default,simple,"4, 5, 16",ART0009,0,16.6,,200,,,British Breakfast Black Tea,Black Tea | British Breakfast | Artisan Selection ,"An alternative to the traditional English Breakfast tea, have a great start to the morning with this full-bodied black tea blend of Assam, Kenyan and Ceylon",,,,,british-breakfast-tea,british-breakfast-tea.html,Block after Info Column,,,,Use config,Use config,Enabled,"Catalog, Search",Taxable Goods,test description,test description,,,,,,,,,99,0,1,0,0,1,1,1,10000,1,1,,1,1,1,0,0,1,0,1,0,0,0,1,British Breakfast Black Tea,0,simple,,,,,,,,,
admin,base,Default,simple,"5,14, 4",ART0010,0,16.6,13.28,200,,,Straits Chai Black Tea,Black Tea | Straits Chai | Artisan Selection | Award-Winning Tea,"A multi-award winning tea made of Sumatran black tea with spices from the Orient, nutmeg, cloves and a hint of fennel. Enjoy a cup of exotic full-bodied tea that is best served with milk and sugar",,,,,straits-chai,straits-chai.html,Block after Info Column,,,,Use config,Use config,Enabled,"Catalog, Search",Taxable Goods,test description,test description,,,0015-02-24 00:00:00,,,,,,99,0,1,0,0,1,1,1,10000,1,1,,1,1,1,1,0,1,0,1,0,0,0,1,Straits Chai Black Tea,0,simple,,,,,No layout updates, ,No,No,No
